Proprietary  Name,Active Ingredient/Moiety,Applicant,NDA/BLA,Application Number(1),Application Number(2),Application Number(3),Dosage Form(1),Route of Administration(1),Dosage Form(2),Route of Administration(2),Dosage Form(3),Route of Administration(3),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation,Qualified Infectious Disease Product,Issued a Priority Review Voucher,Redeemed a Priority Review Voucher,Notes,receipt_date,approval_date,review_time_days,log_review_time_days,regulatory_era
Foscavir,foscarnet sodium,Astra,NDA,20068,NA,NA,Injectable,Injection,NA,NA,NA,NA,9/20/1990,9/27/1991,1991,treatment of CMV retinitis in patients with acquired immunodeficiency syndrome (AIDS),NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1990-09-20,1991-09-27,372,5.918893854273146,Pre-PDUFA
Videx,didanosine,Bristol-Myers Squibb,NDA,20154,20155,20156,"Tablet, Chewable",Oral,Solution,Oral,Solution,Oral,4/2/1991,10/9/1991,1991,adult and pediatric patients over six months of age with advanced HIV infection who are intolerant of zidovudine [AZT] therapy or who have demonstrated significant clinical or immunologic deterioration during zidovudine therapy,NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1991-04-02,1991-10-09,190,5.247024072160486,Pre-PDUFA
Nipent,pentostatin,Parke-Davis,NDA,20122,NA,NA,Injectable,Injection,NA,NA,NA,NA,2/11/1991,10/11/1991,1991,treatment for adult patients with alpha-interferon-refractory hairy cell leukemia,NA,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,NA,1991-02-11,1991-10-11,242,5.488937726156687,Pre-PDUFA
Aredia,pamidronate disodium,Ciba-Geigy,NDA,20036,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/21/1989,10/31/1991,1991,treatment of hypercalcemia associate with malignancy,NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1989-12-21,1991-10-31,679,6.520621127558696,Pre-PDUFA
Pravachol,pravastatin sodium,Bristol-Myers Squibb,NDA,19898,NA,NA,Tablet,Oral,NA,NA,NA,NA,1/31/1989,10/31/1991,1991,as an adjunct to diet for the reduction of elevated total and LDL-cholesterol levels in patients with primary hypercholesterolemia (Type IIa and IIb) when the response to a diet restricted in saturated fat and cholesterol has not been adequate,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1989-01-31,1991-10-31,1003,6.910750787961936,Pre-PDUFA
Ticlid,ticlopidine hydrochloride,Syntex,NDA,19979,NA,NA,Tablet,Oral,NA,NA,NA,NA,11/15/1989,10/31/1991,1991,"indicated to reduce the risk of thrombotic stroke (fatal 
or nonfatal) in patients who have experienced stroke precursors,
and in patients who have had a completed thrombotic stroke",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1989-11-15,1991-10-31,715,6.5722825426940075,Pre-PDUFA
Biaxin,clarithromycin,Abbott Laboratories,NDA,50662,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/20/1989,10/31/1991,1991,indicated for the treatment of mild to moderate infections caused by susceptible strains of designated microorganisms in the conditions listed below:  pharyngitis/tonsillitis; sinusitis; acute bacterial exacerbations of chronic bronchitis; pneumonia; uncomplicated skin and skin structure infections,NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1989-12-20,1991-10-31,680,6.522092798170152,Pre-PDUFA
Zithromax,azithromycin,Pfizer,NDA,50670,NA,NA,Capsule,Oral,NA,NA,NA,NA,4/11/1990,11/1/1991,1991,"indicated for the treatment of individuals 16 years of age and older with mild to moderate infections caused by susceptible strains of designated microorganisms in the conditions listed below: acute bacterial exacerbations of chronic obstructive pulmonary disease; pneumonia; streptococcal pharyngitis/tonsillitis, as an alternative to first line therapy in individuals who cannot use first line therapy; uncomplicated skin and skin structure infections; non-gonococal urethritis and cervicitis",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1990-04-11,1991-11-01,569,6.343880434126331,Pre-PDUFA
Accupril,quinapril hydrochloride,Parke-Davis,NDA,19885,NA,NA,Tablet,Oral,NA,NA,NA,NA,1/26/1989,11/19/1991,1991,treatment of hypertension,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1989-01-26,1991-11-19,1027,6.934397209928558,Pre-PDUFA
Romazicon,flumazenil,Roche,NDA,20073,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/10/1990,12/20/1991,1991,"the complete or partial reversal of the sedative effects of benzodiazepines in cases where general anesthesia has been induced and/or maintained with benzodiazepines, where sedation has been produced with benzodiazepines for diagnostic and therapeutic procedures, and for the management of benzodiazepine overdose",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1990-12-10,1991-12-20,375,5.926926025970411,Pre-PDUFA
Zocor,simvastatin,Merck Sharp & Dohme,NDA,19766,NA,NA,Tablet,Oral,NA,NA,NA,NA,10/16/1987,12/23/1991,1991,as an adjunct to diet for the reduction of elevated total and LDL cholesterol levels in patients with primary hypercholesterolemia (Types IIa and IIb) when the response to a diet restricted in saturated fat and cholesterol and other nonpharmacological measures alone has not been adequate,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1987-10-16,1991-12-23,1529,7.332369205929062,Pre-PDUFA
Cefzil,cefprozil,Bristol-Myers Squibb,NDA,50664,50665,NA,Tablet,Oral,Suspension,Oral,NA,NA,3/30/1990,12/23/1991,1991,indicated for the treatment of patients with mild to moderate infections caused by susceptible strains of designated microorganisms in the conditions listed below: pharyngitis/tonsillitis; otitis media; secondary bacterial infection of acute bronchitis and acute bacterial exacerbations of chronic bronchitis; uncomplicated skin and skin structure infections,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1990-03-30,1991-12-23,633,6.450470422144176,Pre-PDUFA
Supprelin,histrelin acetate,Johnson & Johnson,NDA,19836,NA,NA,Injectable,Injection,NA,NA,NA,NA,5/22/1989,12/24/1991,1991,treatment of central precocious puberty,NA,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,NA,1989-05-22,1991-12-24,946,6.852242569051878,Pre-PDUFA
Relafen,nabumetone,SmithKline Beecham,NDA,19583,NA,NA,Tablet,Oral,NA,NA,NA,NA,2/10/1986,12/24/1991,1991,acute and chronic treatment of signs and symptoms of osteoarthritis and rheumatoid arthritis,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1986-02-10,1991-12-24,2143,7.669961995473577,Pre-PDUFA
Ismo,isosorbide mononitrate,Wyeth,NDA,19091,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/30/1983,12/30/1991,1991,prevention and control of stable angina pectoris due to coronary artery disease,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-12-30,1991-12-30,2922,7.980023592310645,Pre-PDUFA
Zoloft,sertraline hydrochloride,Pfizer,NDA,19839,NA,NA,Tablet,Oral,NA,NA,NA,NA,4/13/1988,12/30/1991,1991,treatment of depression,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1988-04-13,1991-12-30,1356,7.212294468500341,Pre-PDUFA
Lorabid,loracarbef,Eli Lilly,NDA,50667,50668,NA,For Suspension,Oral,Capsule,Oral,NA,NA,8/27/1990,12/31/1991,1991,indicated for the treatment of patients with mild to moderate infections caused by susceptible strains of designated microorganisms in the conditions listed: Secondary Bacterial Infection of Acute Bronchitis; Acute Bacterial Exacerbations of Chronic Bronchitis; Pneumonia; Acute Otitis Media; Acute Maxillary Sinusitis; Pharyngitis and Tonsillitis; Uncomplicated Skin and Skin Structure Infections; Uncomplicated Urinary Tract Infections; Uncomplicated Pyelonephritis,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1990-08-27,1991-12-31,491,6.19644412779452,Pre-PDUFA
Penetrex,enoxacin,Warner-Lambert,NDA,19616,NA,NA,Tablet,Oral,NA,NA,NA,NA,10/24/1986,12/31/1991,1991,"indicated for the treatment of infections caused by susceptible strains of designated microorganisms in the infections listed: urinary tract infections (uncomplicated and complicated), uncomplicated urethritis or endocervicitis due to susceptible strains of Neisseria gonorrhoea, including non-penicillinase- and penicillinase-producing strains",NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1986-10-24,1991-12-31,1894,7.546446273746024,Pre-PDUFA
Mivacron,mivacurium chloride,Burroughs Wellcome,NDA,20098,NA,NA,Solution,Intravenous,NA,NA,NA,NA,8/30/1990,1/22/1992,1992,"for inpatients and outpatients, as an adjunct to general anesthesia, to facilitate tracheal intubation and to provide skeletal muscle relaxation during surgery or mechanical ventilation",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1990-08-30,1992-01-22,510,6.234410725718371,Pre-PDUFA
Omniflox,temafloxacin hydrochloride,Abbott Laboratories,NDA,20043,NA,NA,Tablet,Oral,NA,NA,NA,NA,11/30/1989,1/30/1992,1992,"treatment of adults with mild to moderate infections caused by susceptible strains of designated microorganisms in the conditions listed: Lower Respiratory Tract Infections (acute bacterial exacerbation of chronic bronchitis and pneumonia), uncomplicated skin and skin structure infections, prostatitis, uncomplicated and complicated urinary tract infections",NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1989-11-30,1992-01-30,791,6.673297967767654,Pre-PDUFA
Maxaquin,lomefloxacin hydrochloride,Searle,NDA,20013,NA,NA,Tablet,Oral,NA,NA,NA,NA,7/31/1990,2/21/1992,1992,indicated  for  the  treatment  of  adults  with  mild  to moderate  infections  caused  by  susceptible  strains  of  the  designated  microorganisms  in  the  conditions listed: complicated and uncomplicated urinary tract infections; acute bacterial exacerbations of chronic bronchitis; indicated pre-operatively to reduce the incidence of urinary tract infections in the early postoperative period in patients undergoing transurethral surgical procedures,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1990-07-31,1992-02-21,570,6.345636360828596,Pre-PDUFA
Proleukin,aldesleukin,Chiron,BLA,103293,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/1/1988,5/5/1992,1992,treatment of adults (>18 years old) with metastatic renal cell carcinoma,NA,Standard,Yes,No,N/A,N/A,N/A,N/A,N/A,NA,1988-12-01,1992-05-05,1251,7.1316985104669115,Pre-PDUFA
Proscar,finasteride,Merck Sharp & Dohme,NDA,20180,NA,NA,Tablet,Oral,NA,NA,NA,NA,4/15/1991,6/19/1992,1992,treatment of symptomatic benign prostatic hyperplasia,NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1991-04-15,1992-06-19,431,6.066108090103747,Pre-PDUFA
Hivid,zalcitabine,Roche,NDA,20199,NA,NA,Tablet,Oral,NA,NA,NA,NA,10/31/1991,6/19/1992,1992,indicated for the treatment of adult patients with advanced HIV infection who have demonstrated significant clinical or immunological deterioration,NA,Priority,Yes,Yes,N/A,N/A,N/A,N/A,N/A,NA,1991-10-31,1992-06-19,232,5.44673737166631,Pre-PDUFA
Vumon,teniposide,Bristol-Myers Squibb,NDA,20119,NA,NA,Injectable,Injection,NA,NA,NA,NA,9/28/1990,7/14/1992,1992,indicated for induction therapy in patients with refractory childhood acute lymphoblastic leukemia,NA,Priority,Yes,No,N/A,N/A,N/A,N/A,N/A,NA,1990-09-28,1992-07-14,655,6.484635235635252,Pre-PDUFA
Halfan,halofantrine hydrochloride,SmithKline Beecham,NDA,20250,NA,NA,Tablet,Oral,NA,NA,NA,NA,1/7/1992,7/24/1992,1992,treatment of adults who can tolerate oral medication and who have mild to moderate malaria caused by Plasmodium falciparum or Plasmodium vivax,NA,Priority,Yes,No,N/A,N/A,N/A,N/A,N/A,NA,1992-01-07,1992-07-24,199,5.293304824724492,Pre-PDUFA
Norvasc,amlodipine besylate,Pfizer,NDA,19787,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/23/1987,7/31/1992,1992,"treatment of hypertension, alone or in combination with other antihypertensive agents, treatment of chronic stable angina alone or in combination with other antianginal agents, treatment of confirmed or suspected vasospastic angina, as monotherapy or in combination with other antianginal drugs",NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1987-12-23,1992-07-31,1682,7.427738840532894,Pre-PDUFA
Zebeta,bisoprolol fumarate,Lederle,NDA,19982,NA,NA,Tablet,Oral,NA,NA,NA,NA,8/1/1989,7/31/1992,1992,management of hypertension,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1989-08-01,1992-07-31,1095,6.9985096422506015,Pre-PDUFA
Vantin,cefpodoxime proxetil,Upjohn,NDA,50674,50675,NA,Tablet,Oral,Suspension,Oral,NA,NA,3/29/1991,8/7/1992,1992,"treatment of patients with mild to moderate infections caused by susceptible strains of designated microorganisms in the conditions listed:  Acute, community-acquired pneumonia; acute, uncomplicated urethral and cervical gonorrhea; acute, uncomplicated ano-rectal infections in women due to Neisseria gonorrhoeae; uncomplicated skin and skin structure infections; acute otitis media; pharyngitis/tonsillitis; uncomplicated urinary tract infections",NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1991-03-29,1992-08-07,497,6.208590026096629,Pre-PDUFA
Actinex,masoprocol,Block,NDA,19940,NA,NA,Cream,Topical,NA,NA,NA,NA,4/10/1989,9/4/1992,1992,topical treatment of actinic (solar) keratoses,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1989-04-10,1992-09-04,1243,7.1252830915107115,Pre-PDUFA
Sporanox,itraconazole,Janssen,NDA,20083,NA,NA,Capsule,Oral,NA,NA,NA,NA,5/31/1990,9/11/1992,1992,"treatment of the following fungal infections in immunocompromised and non-immunocompromised patients: blastomycosis, pulmonary and extrapulmonary; histoplasmosis, including chronic cavitary pulmonary disease and disseminated, non-meningeal histoplasmosis",NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1990-05-31,1992-09-11,834,6.726233402358747,Pre-PDUFA
Suprane,desflurane,Anaquest,NDA,20118,NA,NA,Liquid,Inhalation,NA,NA,NA,NA,1/30/1991,9/18/1992,1992,indicated as an inhalation agent for induction and/or maintenance of anesthesia for inpatient and outpatient surgery in adults,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1991-01-30,1992-09-18,597,6.391917113392602,Pre-PDUFA
Betapace,sotalol hydrochloride,Bristol-Myers Squibb,NDA,19865,NA,NA,Tablet,Oral,NA,NA,NA,NA,6/30/1988,10/30/1992,1992,"treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, that in the judgment of the physician are life-threatening",NA,Priority,Yes,No,N/A,N/A,N/A,N/A,N/A,NA,1988-06-30,1992-10-30,1583,7.367077059881012,Pre-PDUFA
ProHance,gadoteridol,Squibb,NDA,20131,NA,NA,Injectable,Injection,NA,NA,NA,NA,1/23/1991,11/16/1992,1992,"provides contrast enhancement of the brain, spine, and surrounding tissues resulting in improved visualization of lesions with abnormal vascularity or those thought to cause a disruption of the normal blood-brain barrier",NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1991-01-23,1992-11-16,663,6.4967749901858625,Pre-PDUFA
Mepron,atovaquone,Burroughs Wellcome,NDA,20259,NA,NA,Tablet,Oral,NA,NA,NA,NA,4/24/1992,11/25/1992,1992,treatment of mild to moderate Pneumocystis carinii pneumonia in patients who are intolerant to trimethoprim-sulfamethoxazole,NA,Priority,Yes,No,N/A,N/A,N/A,N/A,N/A,NA,1992-04-24,1992-11-25,215,5.3706380281276624,Pre-PDUFA
Desogen,"desogestrel, ethinyl estradiol",Organon,NDA,20071,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/31/1990,12/10/1992,1992,prevention of pregnancy in women who elect to use oral contraceptives as a method of contraception,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1990-12-31,1992-12-10,710,6.565264970035361,Pre-PDUFA
Ambien,zolpidem tartrate,Lorex,NDA,19908,NA,NA,Tablet,Oral,NA,NA,NA,NA,1/30/1989,12/16/1992,1992,short-term treatment of insomnia,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1989-01-30,1992-12-16,1416,7.255591274253665,Pre-PDUFA
Mycobutin,rifabutin,Adria,NDA,50689,NA,NA,Capsule,Oral,NA,NA,NA,NA,1/17/1992,12/23/1992,1992,prevention of disseminated Mycobacterium avium complex (MAC) disease in patients with advanced HIV infection,NA,Priority,Yes,No,N/A,N/A,N/A,N/A,N/A,NA,1992-01-17,1992-12-23,341,5.831882477283517,Pre-PDUFA
Imitrex,sumatriptan succinate,Glaxo,NDA,20080,NA,NA,Injectable,Subcutaneous,NA,NA,NA,NA,7/2/1990,12/28/1992,1992,acute treatment of migraine attacks with or without aura,NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1990-07-02,1992-12-28,910,6.813444599510896,Pre-PDUFA
Indiclor,indium In 111 chloride,Amersham,NDA,19862,NA,NA,Injectable,Injection,NA,NA,NA,NA,5/2/1988,12/29/1992,1992,indicated for radiolabeling of monoclonal antibodies in preparations used for in vivo diagnostic imaging procedures,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1988-05-02,1992-12-29,1702,7.43955930913332,Pre-PDUFA
Taxol,paclitaxel,Bristol-Myers Squibb,NDA,20262,NA,NA,Injectable,Injection,NA,NA,NA,NA,7/22/1992,12/29/1992,1992,treatment of patients with metastatic carcinoma of the ovary after failure of first-line or subsequent chemotherapy,NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1992-07-22,1992-12-29,160,5.075173815233827,Pre-PDUFA
OncoScint,satumomab pendetide,Cytogen,BLA,103336,NA,NA,Injectable,Injection,NA,NA,NA,NA,9/28/1989,12/29/1992,1992,"indicated for determining the extent and location of extrahepatic malignant disease in the following:
[A] in patients with known colorectal cancer 
[B] in patients with known ovarian cancer",NA,Standard,Yes (indication [B] only),No,N/A,N/A,N/A,N/A,N/A,Biologic product assigned new license number and now referenced by BLA 103673,1989-09-28,1992-12-29,1188,7.080026499922591,Pre-PDUFA
Paxil,paroxetine hydrochloride,SmithKline Beecham,NDA,20031,NA,NA,Tablet,Oral,NA,NA,NA,NA,11/21/1989,12/29/1992,1992,treatment of depression,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1989-11-21,1992-12-29,1134,7.033506484287697,Pre-PDUFA
Tilade,nedocromil sodium,Fisons,NDA,19660,NA,NA,"Aerosol, Metered",Inhalation,NA,NA,NA,NA,3/3/1987,12/30/1992,1992,indicated for maintenance therapy in the management of patients with mild to moderate bronchial asthma,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1987-03-03,1992-12-30,2129,7.663407664893479,Pre-PDUFA
Lamisil,terbinafine hydrochloride,Sandoz,NDA,20192,NA,NA,Cream,Topical,NA,NA,NA,NA,7/3/1991,12/30/1992,1992,"treatment of the following dermatologic infections: interdigital tinea pedis, tinea cruris, or tinea corporis due to Epidermophyton floccosum, Trichophyton mentagrophytes, or Trichophyton rubrum",NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1991-07-03,1992-12-30,546,6.302618975744905,Pre-PDUFA
Manoplax,flosequinan,Boots,NDA,19960,NA,NA,Tablet,Oral,NA,NA,NA,NA,10/1/1990,12/30/1992,1992,management of congestive heart failure in patients not responding adequately to diuretics,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1990-10-01,1992-12-30,821,6.710523109452428,Pre-PDUFA
Omniscan,gadodiamide,Sterling-Winthrop,NDA,20123,NA,NA,Injectable,Injection,NA,NA,NA,NA,10/12/1990,1/8/1993,1993,intravenous administration with magnetic resonance imaging in adult patients to provide contrast enhancement in those central nervous system lesions with abnormal vascularity or those thought to cause abnormalities in the blood brain barrier,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1990-10-12,1993-01-08,819,6.70808408385307,Early-PDUFA
Leustatin,cladribine,Johnson & Johnson,NDA,20229,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/31/1991,2/26/1993,1993,treatment of active hairy cell leukemia,NA,Priority,Yes,No,N/A,N/A,N/A,N/A,N/A,NA,1991-12-31,1993-02-26,423,6.0473721790462776,Early-PDUFA
Lovenox,enoxaparin sodium,Rhone-Poulenc Rorer,NDA,20164,NA,NA,Injectable,Subcutaneous,NA,NA,NA,NA,12/31/1991,3/29/1993,1993,"prevention of deep vein thrombosis (DVT), which may lead to pulmonary embolism, following hip replacement surgery",NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1991-12-31,1993-03-29,454,6.118097198041348,Early-PDUFA
Claritin,loratadine,Schering,NDA,19658,NA,NA,Tablet,Oral,NA,NA,NA,NA,10/31/1986,4/12/1993,1993,for the relief of nasal and non-nasal symptoms of seasonal allergic rhinitis,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1986-10-31,1993-04-12,2355,7.764296006450518,Early-PDUFA
Metastron,strontium 89 chloride,Medi Physics,NDA,20134,NA,NA,Injectable,Injection,NA,NA,NA,NA,10/2/1992,6/18/1993,1993,for the relief of bone pain in patients with painful skeletal metastases,NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1992-10-02,1993-06-18,259,5.556828061699537,Early-PDUFA
Orlaam,levomethadyl acetate hydrochloride,Biometric Res,NDA,20315,NA,NA,Concentrate,Oral,NA,NA,NA,NA,6/21/1993,7/9/1993,1993,indicated for the management of opiate dependence,NA,Priority,Yes,No,N/A,N/A,N/A,N/A,N/A,NA,1993-06-21,1993-07-09,18,2.8903717578961645,Early-PDUFA
Betaseron,interferon beta-1b,Chiron,BLA,103471,NA,NA,Injectable,Injection,NA,NA,NA,NA,6/18/1992,7/23/1993,1993,for use in ambulatory patients with relapse-remitting multiple sclerosis (MS) to reduce the frequency of clinical exacerbations,NA,Priority,Yes,Yes,N/A,N/A,N/A,N/A,N/A,NA,1992-06-18,1993-07-23,400,5.991464547107982,Early-PDUFA
Felbatol,felbamate,Wallace,NDA,20189,NA,NA,Suspension,Oral,NA,NA,NA,NA,9/30/1991,7/29/1993,1993,"[A] as monotherapy and adjunctive therapy in the treatment of partial seizures with and without generalization in adults with epilepsy
[B] as adjunctive therapy in the treatment of partial and generalized seizures associated with the Lennox-Gastaut syndrome in children",NA,Priority,Yes (indication [B] only),No,N/A,N/A,N/A,N/A,N/A,NA,1991-09-30,1993-07-29,668,6.504288173536645,Early-PDUFA
Propulsid,cisapride monohydrate,Janssen,NDA,20210,NA,NA,Tablet,Oral,NA,NA,NA,NA,8/29/1991,7/29/1993,1993,symptomatic treatment of patients with nocturnal heartburn due to gastroesophageal reflux disease,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1991-08-29,1993-07-29,700,6.551080335043404,Early-PDUFA
Imagent GI,perflubron,Alliance,NDA,20091,NA,NA,Liquid,Oral,NA,NA,NA,NA,10/25/1990,8/13/1993,1993,Indicated for use with magnetic resonance imaging to enhance the delineation of the bowel in order to distinguish it from adjacent organs and areas of suspected pathology,NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1990-10-25,1993-08-13,1023,6.930494765951626,Early-PDUFA
Demadex,torsemide,Boehringer Mannheim,NDA,20136,20137,NA,Tablet,Oral,Injectable,Injection,NA,NA,2/28/1991,8/23/1993,1993,"treatment of edema associated with congestive heart failure (CHF), renal disease, or hepatic disease; treatment of hypertension",NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1991-02-28,1993-08-23,907,6.810142450115136,Early-PDUFA
Cognex,tacrine hydrochloride,Parke-Davis,NDA,20070,NA,NA,Capsule,Oral,NA,NA,NA,NA,6/4/1990,9/9/1993,1993,treatment of mild to moderate dementia of the Alzheimer's type,NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1990-06-04,1993-09-09,1193,7.084226422097916,Early-PDUFA
Flumadine,rimantadine hydrochloride,Forest,NDA,19649,19650,NA,Tablet,Oral,Syrup,Oral,NA,NA,11/14/1986,9/17/1993,1993,prophylaxis and treatment of illness caused by various strains of influenza A virus in adults; indicated for prophylaxis against influenza A virus in children,NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1986-11-14,1993-09-17,2499,7.823645930834952,Early-PDUFA
Alomide,lodoxamide tromethamine,Alcon,NDA,20191,NA,NA,Solution/Drops,Ophthalmic,NA,NA,NA,NA,6/10/1991,9/23/1993,1993,"treatment of the ocular disorders referred to by the terms vernal keratoconjunctivitis, vernal conjunctivitis, and vernal keratitis",NA,Standard,Yes,No,N/A,N/A,N/A,N/A,N/A,NA,1991-06-10,1993-09-23,836,6.728628613084702,Early-PDUFA
Zosyn,"tazobactam sodium, pipercillin sodium",Lederle,NDA,50684,NA,NA,Injectable,Injection,NA,NA,NA,NA,9/3/1991,10/22/1993,1993,"treatment of moderate to severe infections cased by piperacillin-resistant, piperacillin/tazobactam-susceptible, beta-lactamase producing strains of designated microorganisms in: appendicitis and peritonitis; uncomplicated and complicated skin and skin structures infections; postpartum endometritis or pelvic inflammatory disease; community-acquired pneumonia (moderate severity only)",NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1991-09-03,1993-10-22,780,6.659293919683638,Early-PDUFA
Livostin,levocabastine hydrochloride,Iolab,NDA,20219,NA,NA,Suspension/Drops,Ophthalmic,NA,NA,NA,NA,9/24/1991,11/10/1993,1993,temporary relief of the signs and symptoms of seasonal allergic conjunctivitis,NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1991-09-24,1993-11-10,778,6.656726524178391,Early-PDUFA
Neutrexin,trimetrexate glucuronate,US BioScience,NDA,20326,NA,NA,Injectable,Injection,NA,NA,NA,NA,2/1/1993,12/17/1993,1993,"for use with concurrent leucovorin administration is indicated as an alternative therapy for the treatment of moderate-to-severe Pneumocystis carnii pneumonia (PCP) in immunocompromised patients, including patients with acquired immunodeficiency syndrome (AIDS), who are intolerant of, or are refractory to, trimethoprim-sulfamethoxazole (TMP/SMX) therapy or for whom TMP/SMX is contraindicated",NA,Priority,Yes,No,N/A,N/A,N/A,N/A,N/A,NA,1993-02-01,1993-12-17,319,5.765191102784844,Early-PDUFA
Effexor,venlafaxine hydrochloride,Wyeth-Ayerst,NDA,20151,NA,NA,Tablet,Oral,NA,NA,NA,NA,4/26/1991,12/28/1993,1993,treatment of depression,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1991-04-26,1993-12-28,977,6.884486652042782,Early-PDUFA
Kytril,granisetron hydrochloride,SmithKline Beecham,NDA,20239,NA,NA,Injectable,Injection,NA,NA,NA,NA,4/14/1992,12/29/1993,1993,"prevention of nausea and/or vomiting associated with initial and repeat courses of emetogenic cancer therapy, including high-dose cisplatin",NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1992-04-14,1993-12-29,624,6.436150368369428,Early-PDUFA
Trasylol,aprotinin,Miles,BLA,20304,NA,NA,Injectable,Injection,NA,NA,NA,NA,11/24/1992,12/29/1993,1993,"prophylactic use to reduce perioperative blood loss and the homologous blood transfusion requirement in patients undergoing cardiopulmonary bypass surgery in the course of repeat coronary artery bypass graft surgery, and in selected cases
of primary coronary artery bypass graft surgery where the risk of bleeding is especially high (impaired hemostasis) or where transfusion is unavailable or unacceptable",NA,Priority,Yes,No,N/A,N/A,N/A,N/A,N/A,Transition Product from NDA to BLA due to BPCI : Please see page 2 of data dictionary for more information.,1992-11-24,1993-12-29,400,5.991464547107982,Early-PDUFA
Dovonex,calcipotriene,Bristol-Myers,NDA,20273,NA,NA,Ointment,Topical,NA,NA,NA,NA,3/31/1992,12/29/1993,1993,treatment of moderate plaque psoriasis,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1992-03-31,1993-12-29,638,6.45833828334479,Early-PDUFA
