Proprietary  Name,Active Ingredient/Moiety,Applicant,NDA/BLA,Application Number(1),Application Number(2),Application Number(3),Dosage Form(1),Route of Administration(1),Dosage Form(2),Route of Administration(2),Dosage Form(3),Route of Administration(3),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation,Qualified Infectious Disease Product,Issued a Priority Review Voucher,Redeemed a Priority Review Voucher,Notes,receipt_date,approval_date,review_time_days,log_review_time_days,therapeutic_area,classification_confidence,classification_method,review_type_simplified,therapeutic_area_factor,review_type_factor,regulatory_era_factor,review_time_days_response,log_review_time_days_response
Meretek UBT,13 C Urea,Meretek,NDA,20586,NA,NA,For Solution,Oral,NA,NA,NA,NA,5/11/1995,9/17/1996,1996,for the detection of the presence of absence of active Helicobactor pylori infection of the stomach,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-05-11,1996-09-17,495,6.20455776256869,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,495,6.20455776256869
Nilandron,nilutamide,Roussel UCLAF,NDA,20169,NA,NA,Tablet,Oral,NA,NA,NA,NA,3/7/1994,9/19/1996,1996,in combination with surgical castration for the treatment of stage D2 metastatic carcinoma of the prostate,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1994-03-07,1996-09-19,927,6.831953565565855,Oncology,high,indication_keyword_match,Standard,Oncology,Standard,Early-PDUFA,927,6.831953565565855
Denavir,penciclovir,SmithKline Beecham,NDA,20629,NA,NA,Cream,Topical,NA,NA,NA,NA,10/16/1995,9/24/1996,1996,treatment of recurrent herpes labialis (cold sores) in adults,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-10-16,1996-09-24,344,5.840641657373398,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,344,5.840641657373398
Naropin,ropivacaine hydrochloride monohydrate,Astra,NDA,20533,NA,NA,Solution,Injection,NA,NA,NA,NA,3/31/1995,9/24/1996,1996,"production of local or regional anesthesia for surgery, for postoperative pain management and for obstetrical procedures",NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-03-31,1996-09-24,543,6.297109319933935,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,543,6.297109319933935
Elmiron,pentosan polysulfate sodium,Baker Norton,NDA,20193,NA,NA,Capsule,Oral,NA,NA,NA,NA,6/19/1991,9/26/1996,1996,indicated for the relief of bladder pain or discomfort associated with interstitial cystitis,NA,Standard,Yes,No,N/A,N/A,N/A,N/A,N/A,NA,1991-06-19,1996-09-26,1926,7.563200592358071,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,1926,7.563200592358071
Accolate,zafirlukast,Zeneca,NDA,20547,NA,NA,Tablet,Oral,NA,NA,NA,NA,6/26/1995,9/26/1996,1996,prophylaxis and chronic treatment of asthma in adults and children 12 years of age and older,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-06-26,1996-09-26,458,6.126869184114185,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,458,6.126869184114185
Zyprexa,olanzapine,Lilly,NDA,20592,NA,NA,Tablet,Oral,NA,NA,NA,NA,9/22/1995,9/30/1996,1996,treatment of the manifestations of psychotic disorders,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-09-22,1996-09-30,374,5.924255797414532,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,374,5.924255797414532
Mentax,butenafine hydrochloride,Penederm,NDA,20524,NA,NA,Cream,Topical,NA,NA,NA,NA,4/5/1995,10/18/1996,1996,treatment of interdigital tinea pedis,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-04-05,1996-10-18,562,6.331501849893691,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,562,6.331501849893691
Cystadane,betaine anhydrous,Orphan Medical,NDA,20576,NA,NA,For Solution,Oral,NA,NA,NA,NA,10/25/1995,10/25/1996,1996,treatment of homocystinuria to decrease elevated homocysteine blood levels,NA,Priority,Yes,No,N/A,N/A,N/A,N/A,N/A,NA,1995-10-25,1996-10-25,366,5.902633333401366,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,366,5.902633333401366
ProstaScint,capromab pendetide,Cytogen,BLA,103608,NA,NA,Injectable,Injection,NA,NA,NA,NA,1/13/1995,10/28/1996,1996,"indicated for the preparation of lndium In 111 Capromab Pendetide to be used as a diagnostic imaging agent in newly diagnosed patients with biopsy-proven prostate cancer, thought to be clinically localized after standard diagnostic evaluation, who are at high risk for pelvic lymph node metastases, and in post-prostatectomy patients with a rising PSA and a negative or equivocal standard metastatic evaluation in whom there is a high clinical suspicion of occult metastatic disease",NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-01-13,1996-10-28,654,6.483107351457199,Oncology,high,indication_keyword_match,Priority,Oncology,Priority,Early-PDUFA,654,6.483107351457199
Retavase,reteplase,Boehringer Mannheim,BLA,103632,NA,NA,Injectable,Injection,NA,NA,NA,NA,6/30/1995,10/30/1996,1996,"indicated in the management of acute myocardial infarction (AMI) in adults for the improvement of ventricular function following AMI, the reduction of the incidence of congestive heart failure and the reduction of mortality associated with AMI",NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,Biologic product assigned new license number and now referenced by BLA 103786,1995-06-30,1996-10-30,488,6.1903154058531475,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,488,6.1903154058531475
Astelin,azelastine hydrochloride,Wallace Lab,NDA,20114,NA,NA,"Spray, Metered",Nasal,NA,NA,NA,NA,3/26/1991,11/1/1996,1996,"treatment of the symptoms of seasonal allergic rhinitis such as rhinorrhea, sneezing, and nasal pruritus in adults and children 12 years and older",NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1991-03-26,1996-11-01,2047,7.624130585661289,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,2047,7.624130585661289
Stromectol,ivermectin,Merck,NDA,50742,NA,NA,Tablet,Oral,NA,NA,NA,NA,4/1/1996,11/22/1996,1996,indicated for the treatment of intestinal strongyloidiasis due to the nematode parasite Strongyloides stercoralis; also indicated for the treatment of onchocerciasis due to the nematode parasite Onchocerca volvulus,NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1996-04-01,1996-11-22,235,5.459585514144159,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,235,5.459585514144159
Aricept,donepezil hydrochloride,Eisai,NDA,20690,NA,NA,Tablet,Oral,NA,NA,NA,NA,4/5/1996,11/25/1996,1996,treatment of mild to moderate dementia of the Alzheimer's type,NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1996-04-05,1996-11-25,234,5.455321115357702,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,234,5.455321115357702
Zanaflex,tizanidine hydrochloride,Athena Neuroscience,NDA,20397,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/6/1993,11/27/1996,1996,acute and intermittent management of increased muscle tone associated with spasticity,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1993-12-06,1996-11-27,1087,6.99117688712121,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,1087,6.99117688712121
Gastromark,ferumoxsil,Advanced Magnetics,NDA,20410,NA,NA,Suspension,Oral,NA,NA,NA,NA,11/23/1993,12/6/1996,1996,for oral use with magnetic resonance imaging to enhance the delineation of the bowel to distinguish it from organs and tissues that are adjacent to the upper regions of the gastrointestinal tract,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1993-11-23,1996-12-06,1109,7.011213987350367,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,1109,7.011213987350367
Zyflo,zileuton,Abbott Laboratories,NDA,20471,NA,NA,Tablet,Oral,NA,NA,NA,NA,7/19/1994,12/9/1996,1996,prophylaxis and chronic treatment of asthma in adults and children 12 years of age and older,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1994-07-19,1996-12-09,874,6.773080375655535,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,874,6.773080375655535
Aphthasol,amlexanox,Block Drug,NDA,20511,NA,NA,Paste,Oral,NA,NA,NA,NA,4/19/1995,12/17/1996,1996,the treatment of aphthous ulcers in people with normal immune systems,NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-04-19,1996-12-17,608,6.410174881966167,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,608,6.410174881966167
Lipitor,atorvastatin calcium,Parke-Davis,NDA,20702,NA,NA,Tablet,Oral,NA,NA,NA,NA,6/17/1996,12/17/1996,1996,"indicated as an adjunct to diet to reduce elevated total-C, LDL-C, apo B, and TG levels in patients with primary hypercholesterolemia (heterozygous familial and non familial) and mixed dyslipidemia (Fredrickson Types IIa and IIb); to reduce total-C and LDL-C in patients with homozygous familial hypercholesterolemia as an adjunct to other lipid-lowering treatments (e.g., LDL apheresis) or if such treatments are unavailable",NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1996-06-17,1996-12-17,183,5.209486152841421,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,183,5.209486152841421
Patanol,olopatadine hydrochloride,Alcon,NDA,20688,NA,NA,Solution/Drops,Ophthalmic,NA,NA,NA,NA,1/29/1996,12/18/1996,1996,For the temporary prevention of itching of the eye due to allergic conjunctivitis,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1996-01-29,1996-12-18,324,5.780743515792329,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,324,5.780743515792329
Glyset,miglitol,Bayer,NDA,20682,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/29/1995,12/18/1996,1996,indicated as adjunct to diet or diet plus sulfonylurea therapy to improve glycemic control in patients with non-insulin-dependent diabetes mellitus,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-12-29,1996-12-18,355,5.872117789475416,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,355,5.872117789475416
Monurol,fosfomycin tromethamine,Zambon,NDA,50717,NA,NA,For Solution,Oral,NA,NA,NA,NA,9/29/1994,12/19/1996,1996,treatment of uncomplicated urinary tract infections(acute cystitis) in women due to susceptible strains of Escherichia coli and Enterococcus faecalis,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1994-09-29,1996-12-19,812,6.699500340161678,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,812,6.699500340161678
Zagam,sparfloxacin,Rhone-Poulenc Rorer,NDA,20677,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/27/1995,12/19/1996,1996,indicated for the treatment of adults with the following infections caused by susceptible strains of designated organisms: community-acquired pneumonia; acute bacterial exacerbations of chronic bronchitis,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-12-27,1996-12-19,358,5.8805329864007,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,358,5.8805329864007
Copaxone,glatiramer acetate,Teva,NDA,20622,NA,NA,For Solution,Subcutaneous,NA,NA,NA,NA,10/11/1995,12/20/1996,1996,indicated for the reduction of the frequency of relapses in patients with relapsing-remitting multiple sclerosis,NA,Standard,Yes,No,N/A,N/A,N/A,N/A,N/A,NA,1995-10-11,1996-12-20,436,6.077642243349034,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,436,6.077642243349034
Diovan,valsartan,Ciba-Geigy,NDA,20665,NA,NA,Capsule,Oral,NA,NA,NA,NA,12/28/1995,12/23/1996,1996,treatment of hypertension,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-12-28,1996-12-23,361,5.8888779583328805,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,361,5.8888779583328805
Dostinex,cabergoline,Pharmacia and Upjohn,NDA,20664,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/27/1995,12/23/1996,1996,"treatment of hyperprolactinemic disorders, either idiopathic or due to pituitary adenomas",NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-12-27,1996-12-23,362,5.8916442118257715,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,362,5.8916442118257715
Orgaran,danaparoid sodium,Organon,NDA,20430,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/30/1994,12/24/1996,1996,indicated for the prophylaxis of post-operative deep venous thrombosis (DVT) which may lead to pulmonary embolism (PE) in patients undergoing elective hip replacement surgery,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1994-12-30,1996-12-24,725,6.586171654854675,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,725,6.586171654854675
Topamax,topiramate,RW Johnson,NDA,20505,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/30/1994,12/24/1996,1996,adjunctive therapy for the treatment of adults with partial onset seizures,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1994-12-30,1996-12-24,725,6.586171654854675,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,725,6.586171654854675
Rezulin,troglitazone,Parke-Davis,NDA,20720,NA,NA,Tablet,Oral,NA,NA,NA,NA,8/1/1996,1/29/1997,1997,indicated for use in Type II diabetes patients whose hyperglycemia is inadequately controlled despite insulin therapy,NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1996-08-01,1997-01-29,181,5.198497031265826,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,181,5.198497031265826
Aldara,imiquimod,3M,NDA,20723,NA,NA,Cream,Topical,NA,NA,NA,NA,7/26/1996,2/27/1997,1997,treatment of external genital and perianal warts/condyloma acuminata in adults,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1996-07-26,1997-02-27,216,5.375278407684165,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,216,5.375278407684165
Skelid,tiludronate disodium,Sanofi Winthrop,NDA,20707,NA,NA,Tablet,Oral,NA,NA,NA,NA,2/28/1996,3/7/1997,1997,treatment of Paget's disease of bone,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1996-02-28,1997-03-07,373,5.921578419643816,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,373,5.921578419643816
Agrylin,anagrelide hydrochloride,Roberts,NDA,20333,NA,NA,Capsule,Oral,NA,NA,NA,NA,1/31/1996,3/14/1997,1997,treatment of patients with essential thrombocythemia to reduce the elevated platelet count and the risk of thrombosis and ameliorate associated systems,NA,Priority,Yes,No,N/A,N/A,N/A,N/A,N/A,NA,1996-01-31,1997-03-14,408,6.0112671744041615,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,408,6.0112671744041615
Viracept,nelfinavir mesylate,Agouron,NDA,20779,20778,NA,Tablet,Oral,Powder,Oral,NA,NA,12/23/1996,3/14/1997,1997,treatment of HIV infection when therapy is warranted,NA,Priority,No,Yes,N/A,N/A,N/A,N/A,N/A,NA,1996-12-23,1997-03-14,81,4.394449154672439,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,81,4.394449154672439
Quadramet,samarium Sm 153 lexidronam,Cytogen,NDA,20570,NA,NA,Injectable,Injection,NA,NA,NA,NA,6/13/1995,3/28/1997,1997,indicated for the relief of pain in patients with confirmed osteoblastic metastatic bone lesions that enhance on radionuclide bone scan,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-06-13,1997-03-28,654,6.483107351457199,Oncology,high,indication_keyword_match,Standard,Oncology,Standard,Early-PDUFA,654,6.483107351457199
Rescriptor,delavirdine mesylate,Pharmacia and Upjohn,NDA,20705,NA,NA,Tablet,Oral,NA,NA,NA,NA,7/15/1996,4/4/1997,1997,treatment of HIV-1 infection in combination with appropriate antiretroviral agents when therapy is warranted,NA,Priority,No,Yes,N/A,N/A,N/A,N/A,N/A,NA,1996-07-15,1997-04-04,263,5.572154032177765,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,263,5.572154032177765
Flomax,tamsulosin hydrochloride,Boehringer Ingelheim Pharmaceuticals,NDA,20579,NA,NA,Capsule,Oral,NA,NA,NA,NA,4/15/1996,4/15/1997,1997,indicated for the treatment of the signs and symptoms of benign prostatic hyperplasia,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1996-04-15,1997-04-15,365,5.8998973535824915,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,365,5.8998973535824915
Pytest Kit,14 C Urea,TriMed,NDA,20617,NA,NA,Capsule,Oral,NA,NA,NA,NA,5/22/1995,5/9/1997,1997,indicated for the diagnosis of Helicobacter pylori infection of the stomach,NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-05-22,1997-05-09,718,6.576469569048224,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,718,6.576469569048224
Normiflo,ardeparin sodium,Wyeth-Ayerst,NDA,20227,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/16/1992,5/23/1997,1997,prevention of deep venous thrombosis which may lead to pulmonary embolism following knee replacement surgery,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1992-12-16,1997-05-23,1619,7.389563953677635,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,1619,7.389563953677635
Fareston,toremifene citrate,Orion,NDA,20497,NA,NA,Tablet,Oral,NA,NA,NA,NA,1/3/1995,5/29/1997,1997,treatment of metastatic breast cancer in postmenopausal women with estrogen receptor positive or receptor unknown tumors,NA,Standard,Yes,No,N/A,N/A,N/A,N/A,N/A,NA,1995-01-03,1997-05-29,877,6.776506992372183,Oncology,high,indication_keyword_match,Standard,Oncology,Standard,Early-PDUFA,877,6.776506992372183
Tazorac,tazarotene,Allergan,NDA,20600,NA,NA,Gel,Topical,NA,NA,NA,NA,6/19/1995,6/13/1997,1997,indicated for the topical treatment of patients with stable plaque psoriasis of up to 20% body surface area involvement and topical treatment of patients with facial acne vulgaris of mild to moderate severity,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-06-19,1997-06-13,725,6.586171654854675,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,725,6.586171654854675
Posicor,mibefradil dihydrochloride,Roche,NDA,20689,NA,NA,Tablet,Oral,NA,NA,NA,NA,3/11/1996,6/20/1997,1997,treatment of hypertension and chronic stable angina pectoris,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1996-03-11,1997-06-20,466,6.1441856341256456,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,466,6.1441856341256456
Baycol,cerivastatin sodium,Bayer,NDA,20740,NA,NA,Tablet,Oral,NA,NA,NA,NA,6/26/1996,6/26/1997,1997,indicated as an adjunct to diet for the reduction of elevated total and LDL cholesterol levels in patients with primary hypercholesterolemia and mixed dyslipidemia (Frederickson Types IIa and IIb) when the response to dietary restriction of saturated fat and cholesterol and other non-pharmacological measures alone has been inadequate,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1996-06-26,1997-06-26,365,5.8998973535824915,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,365,5.8998973535824915
Mirapex,pramipexole dihydrochloride,Pharmacia and Upjohn,NDA,20667,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/28/1995,7/1/1997,1997,treatment of the signs and symptoms of idiopathic Parkinson's disease,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-12-28,1997-07-01,551,6.311734809152915,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,551,6.311734809152915
Duract,bromfenac sodium,Wyeth-Ayerst,NDA,20535,NA,NA,Capsule,Oral,NA,NA,NA,NA,12/30/1994,7/15/1997,1997,indicated for the short-term (generally less than 10 days) management of pain,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1994-12-30,1997-07-15,928,6.833031732786201,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,928,6.833031732786201
Femara,letrozole,Novartis Pharmaceuticals,NDA,20726,NA,NA,Tablet,Oral,NA,NA,NA,NA,7/25/1996,7/25/1997,1997,indicated for the treatment of advanced breast cancer in postmenopausal women,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1996-07-25,1997-07-25,365,5.8998973535824915,Oncology,high,indication_keyword_match,Standard,Oncology,Standard,Early-PDUFA,365,5.8998973535824915
Anzemet,dolasetron mesylate,Hoechst Marion Roussel,NDA,20623,20624,NA,Tablet,Oral,Injectable,Injection,NA,NA,9/29/1995,9/11/1997,1997,prevention of chemotherapy-induced nausea and vomiting; prevention of postoperative nausea and vomiting,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-09-29,1997-09-11,713,6.569481420414296,Oncology,high,indication_keyword_match,Standard,Oncology,Standard,Early-PDUFA,713,6.569481420414296
Genesa,arbutamine hydrochloride,Gensia,NDA,20420,NA,NA,Injectable,Injection,NA,NA,NA,NA,1/6/1994,9/12/1997,1997,indicated for us as an aid in diagnosing the presence or absence of coronary artery disease in patients who cannot exercise adequately when used in conjunction with radionuclide myocardial perfusion imaging or echocardiography,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1994-01-06,1997-09-12,1345,7.20414929203594,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,1345,7.20414929203594
Requip,ropinirole hydrochloride,SmithKline Beecham,NDA,20658,NA,NA,Tablet,Oral,NA,NA,NA,NA,1/2/1996,9/19/1997,1997,treatment of the signs and symptoms of idiopathic Parkinson's disease,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1996-01-02,1997-09-19,626,6.439350371100098,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,626,6.439350371100098
Corlopam,fenoldopam mesylate,Neurex,NDA,19922,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/12/1988,9/23/1997,1997,"indicated for the in-hospital, short-term (up to 48 hours) use in the management of severe hypertension when rapid, but quickly reversible, emergency reduction of blood pressure is clinically indicated, including malignant hypertension with deteriorating end-organ function",NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1988-12-12,1997-09-23,3207,8.073091199693154,Oncology,high,indication_keyword_match,Standard,Oncology,Standard,Early-PDUFA,3207,8.073091199693154
Seroquel,quetiapine fumarate,Zeneca,NDA,20639,NA,NA,Tablet,Oral,NA,NA,NA,NA,7/29/1996,9/26/1997,1997,treatment of the manifestations of psychotic disorders,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1996-07-29,1997-09-26,424,6.049733455231958,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,424,6.049733455231958
Gabitril,tiagabine hydrochloride,Abbott Laboratories,NDA,20646,NA,NA,Tablet,Oral,NA,NA,NA,NA,11/6/1995,9/30/1997,1997,indicated as adjunctive therapy in adults and children 12 years and older in the treatment of partial seizures,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1995-11-06,1997-09-30,694,6.542471960506805,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,694,6.542471960506805
Avapro,irbesartan,Sanofi,NDA,20757,NA,NA,Tablet,Oral,NA,NA,NA,NA,9/26/1996,9/30/1997,1997,treatment of hypertension,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1996-09-26,1997-09-30,369,5.910796644040527,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,369,5.910796644040527
Infergen,interferon alfacon-1,Amgen,BLA,103663,NA,NA,Injectable,Injection,NA,NA,NA,NA,4/11/1996,10/6/1997,1997,treatment of chronic hepatitis C virus (HCV) infection in patients 18 years of age or older with compensated liver disease who have anti-HCV serum antibodies and/or the presence of HCV RNA,NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1996-04-11,1997-10-06,543,6.297109319933935,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,543,6.297109319933935
Raxar,grepafloxacin hydrochloride,Glaxo Wellcome,NDA,20695,NA,NA,Tablet,Oral,NA,NA,NA,NA,11/8/1996,11/6/1997,1997,"treatment of adults with acute bacterial exacerbations of chronic bronchitis, community-acquired pneumonia, uncomplicated gonorrhea, and nongonococcal urethritis and cervicitis",NA,Standard,No,No,N/A,N/A,N/A,N/A,N/A,NA,1996-11-08,1997-11-06,363,5.8944028342648505,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,363,5.8944028342648505
Plavix,clopidogrel bisulfate,Sanofi,NDA,20839,NA,NA,Tablet,Oral,NA,NA,NA,NA,4/28/1997,11/17/1997,1997,"indicated for the reduction of atherosclerotic events (myocardial infarction, stroke, and vascular death) in patients with atherosclerosis documented by recent stroke, recent myocardial infarction, or established peripheral arterial disease",NA,Priority,No,No,N/A,N/A,N/A,N/A,N/A,NA,1997-04-28,1997-11-17,203,5.313205979041787,Other,high,indication_keyword_match,Priority,Other,Priority,Early-PDUFA,203,5.313205979041787
Meridia,sibutramine hydrochloride,Knoll  Pharmacuticals,NDA,20632,NA,NA,Capsule,Oral,NA,NA,NA,NA,8/9/1995,11/22/1997,1997,"indicated for the management of obesity, including weight loss and maintenance of weight loss, and should be used in conjunction with a reduced calorie diet",NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1995-08-09,1997-11-22,836,6.728628613084702,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,836,6.728628613084702
Neumega,oprelvekin,Genetics Institute,BLA,103694,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/23/1996,11/25/1997,1997,indicated for the prevention of severe thrombocytopenia and the reduction of the need for platelet transfusions following myelosuppressive chemotherapy in patients with nonmyeloid malignancies who are at high risk of severe thrombocytopenia,NA,Standard,Yes,No,N/A,No,N/A,N/A,N/A,NA,1996-12-23,1997-11-25,337,5.820082930352362,Oncology,high,indication_keyword_match,Standard,Oncology,Standard,Early-PDUFA,337,5.820082930352362
Zomig,zolmitriptan,Zeneca,NDA,20768,NA,NA,Tablet,Oral,NA,NA,NA,NA,11/26/1996,11/25/1997,1997,treatment of acute migraine,NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1996-11-26,1997-11-25,364,5.8971538676367405,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,364,5.8971538676367405
Teslascan,mangafodipir trisodium,Nycomed,NDA,20652,NA,NA,Injectable,Injection,NA,NA,NA,NA,9/15/1995,11/26/1997,1997,"indicated as an adjunct to MRI to enhance the T1-weighted images used in the detection, localization, characterization, and evaluation of lesions of the liver",NA,Standard,No,No,N/A,No,N/A,N/A,N/A,NA,1995-09-15,1997-11-26,803,6.688354713946762,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,803,6.688354713946762
Rituxan,rituximab,Genentech,BLA,103705,NA,NA,Injectable,Injection,NA,NA,NA,NA,2/28/1997,11/26/1997,1997,"treatment of patients with relapsed or refractory low-grade or follicular, CD20 positive, B-cell non-Hodgkin’s lymphoma",NA,Priority,Yes,No,N/A,No,N/A,N/A,N/A,NA,1997-02-28,1997-11-26,271,5.602118820879701,Oncology,high,indication_keyword_match,Priority,Oncology,Priority,Early-PDUFA,271,5.602118820879701
Antizol,fomepizole,Orphan Medical,NDA,20696,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/6/1996,12/4/1997,1997,"indicated as an antidote to ethylene glycol (antifreeze) poisoning in patients who have ingested, or are suspected of having ingested ethylene glycol",NA,Standard,Yes,No,N/A,No,N/A,N/A,N/A,NA,1996-12-06,1997-12-04,363,5.8944028342648505,Other,high,indication_keyword_match,Standard,Other,Standard,Early-PDUFA,363,5.8944028342648505
